# Time	Temperature [K]	Pressure [Pa]
1e-07	1280.79	202650
1.85083e-07	1316.54	202650
3.55249e-07	1345.85	202650
6.95581e-07	1373.58	202650
1.37624e-06	1413.56	202650
2.73756e-06	1496.65	202650
5.46021e-06	1669.98	202650
1.09053e-05	1959.92	202650
1.36279e-05	2057.41	202650
1.90729e-05	2208.96	202650
2.99629e-05	2401.94	202650
5.07122e-05	2593.58	202650
6.10868e-05	2644.29	202650
8.18339e-05	2705.96	202650
0.000123328	2754.01	202650
0.000206282	2770.33	202650
0.000372053	2771.41	202650
0.000703042	2771.38	202650
0.00136502	2771.38	202650
0.00268016	2771.38	202650
0.00531042	2771.38	202650
0.010571	2771.38	202650
0.0205075	2771.38	202650
0.0403806	2771.38	202650
0.0701903	2771.38	202650
0.1	2771.38	202650
0.15	2771.38	202650
0.2	2771.38	202650
0.3	2771.38	202650
0.4	2771.38	202650
0.5	2771.38	202650
0.6	2771.38	202650
0.7	2771.38	202650
0.8	2771.38	202650
0.9	2771.38	202650
1	2771.38	202650
1.1	2771.38	202650
1.2	2771.38	202650
1.3	2771.38	202650
1.4	2771.38	202650
1.5	2771.38	202650
1.6	2771.38	202650
1.7	2771.38	202650
1.8	2771.38	202650
1.9	2771.38	202650
2	2771.38	202650
2.1	2771.38	202650
2.2	2771.38	202650
2.3	2771.38	202650
2.4	2771.38	202650
2.5	2771.38	202650
2.6	2771.38	202650
2.7	2771.38	202650
2.8	2771.38	202650
2.9	2771.38	202650
3	2771.38	202650
3.1	2771.38	202650
3.2	2771.38	202650
3.3	2771.38	202650
3.4	2771.38	202650
3.5	2771.38	202650
3.6	2771.38	202650
3.7	2771.38	202650
3.8	2771.38	202650
3.9	2771.38	202650
4	2771.38	202650
4.1	2771.38	202650
4.2	2771.38	202650
4.3	2771.38	202650
4.4	2771.38	202650
4.5	2771.38	202650
4.6	2771.38	202650
4.7	2771.38	202650
4.8	2771.38	202650
4.9	2771.38	202650
5	2771.38	202650
